"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"Assignment3","Initiate the GET_Card API with valid fields and verify the Expected Result","Groovy Script","groovy","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the GET_Card API with valid fields and verify the Expected Result","Client_Credentials","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the GET_Card API with valid fields and verify the Expected Result","e2eKey","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the GET_Card API with valid fields and verify the Expected Result","ResourceOwner","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the GET_Card API with valid fields and verify the Expected Result","Store_access_Token","groovy","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the GET_Card API with valid fields and verify the Expected Result","Accounts","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the GET_Card API with valid fields and verify the Expected Result","Cards","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Card API with invalid cardFunction","Groovy Script","groovy","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Card API with invalid cardFunction","Client_Credentials","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Card API with invalid cardFunction","e2eKey","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Card API with invalid cardFunction","ResourceOwner","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Card API with invalid cardFunction","Store_access_Token","groovy","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Card API with invalid cardFunction","Accounts","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Card API with invalid cardFunction","Cards","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the GET_Transactions API with valid fields and verify the Expected Result","Client_Credentials","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the GET_Transactions API with valid fields and verify the Expected Result","e2eKey","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the GET_Transactions API with valid fields and verify the Expected Result","ResourceOwner","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the GET_Transactions API with valid fields and verify the Expected Result","Store_access_Token","groovy","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the GET_Transactions API with valid fields and verify the Expected Result","Accounts","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the GET_Transactions API with valid fields and verify the Expected Result","Cards","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the GET_Transactions API with valid fields and verify the Expected Result","Transaction","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Transactions API with invalid accountId","Client_Credentials","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Transactions API with invalid accountId","e2eKey","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Transactions API with invalid accountId","ResourceOwner","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Transactions API with invalid accountId","Store_access_Token","groovy","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Transactions API with invalid accountId","Accounts","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Transactions API with invalid accountId","Cards","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Transactions API with invalid accountId","Transaction","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Transactions API with invalid transactionStatus","Client_Credentials","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Transactions API with invalid transactionStatus","e2eKey","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Transactions API with invalid transactionStatus","ResourceOwner","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Transactions API with invalid transactionStatus","Store_access_Token","groovy","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Transactions API with invalid transactionStatus","Accounts","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Transactions API with invalid transactionStatus","Cards","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","To verify the GET_Transactions API with invalid transactionStatus","Transaction","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the sourceAccounts & destination Eligibility API with valid fields and verify the Expected Result","Client_Credentials","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the sourceAccounts & destination Eligibility API with valid fields and verify the Expected Result","e2eKey","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the sourceAccounts & destination Eligibility API with valid fields and verify the Expected Result","ResourceOwner","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the sourceAccounts & destination Eligibility API with valid fields and verify the Expected Result","Store_access_Token","groovy","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the sourceAccounts & destination Eligibility API with valid fields and verify the Expected Result","Accounts","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the sourceAccounts & destination Eligibility API with valid fields and verify the Expected Result","Cards","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the sourceAccounts & destination Eligibility API with valid fields and verify the Expected Result","Transaction","restrequest","OK","","27-Jul-2020 20_51",
"Assignment3","Initiate the sourceAccounts & destination Eligibility API with valid fields and verify the Expected Result","PDT-Eligibility","restrequest","OK","","27-Jul-2020 20_51",
