"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"Assignment3","To verify the sourceAccounts & destination Eligibility API with invalid accessToken","Client_Credentials","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","To verify the sourceAccounts & destination Eligibility API with invalid accessToken","e2eKey","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","To verify the sourceAccounts & destination Eligibility API with invalid accessToken","ResourceOwner","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","To verify the sourceAccounts & destination Eligibility API with invalid accessToken","Store_access_Token","groovy","OK","","27-Jul-2020 20_52",
"Assignment3","To verify the sourceAccounts & destination Eligibility API with invalid accessToken","Accounts","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","To verify the sourceAccounts & destination Eligibility API with invalid accessToken","Cards","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","To verify the sourceAccounts & destination Eligibility API with invalid accessToken","Transaction","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","To verify the sourceAccounts & destination Eligibility API with invalid accessToken","PDT-Eligibility","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","Initiate the PDT-PreProcess API with valid fields and verify the Expected Result","Client_Credentials","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","Initiate the PDT-PreProcess API with valid fields and verify the Expected Result","e2eKey","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","Initiate the PDT-PreProcess API with valid fields and verify the Expected Result","ResourceOwner","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","Initiate the PDT-PreProcess API with valid fields and verify the Expected Result","Store_access_Token","groovy","OK","","27-Jul-2020 20_52",
"Assignment3","Initiate the PDT-PreProcess API with valid fields and verify the Expected Result","Accounts","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","Initiate the PDT-PreProcess API with valid fields and verify the Expected Result","Cards","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","Initiate the PDT-PreProcess API with valid fields and verify the Expected Result","Transaction","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","Initiate the PDT-PreProcess API with valid fields and verify the Expected Result","PDT-Eligibility","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","Initiate the PDT-PreProcess API with valid fields and verify the Expected Result","PDT-PreProcess","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","To verify the PDT-PreProcess API with invalid sourceAccountId","Client_Credentials","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","To verify the PDT-PreProcess API with invalid sourceAccountId","e2eKey","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","To verify the PDT-PreProcess API with invalid sourceAccountId","ResourceOwner","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","To verify the PDT-PreProcess API with invalid sourceAccountId","Store_access_Token","groovy","OK","","27-Jul-2020 20_52",
"Assignment3","To verify the PDT-PreProcess API with invalid sourceAccountId","Accounts","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","To verify the PDT-PreProcess API with invalid sourceAccountId","Cards","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","To verify the PDT-PreProcess API with invalid sourceAccountId","Transaction","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","To verify the PDT-PreProcess API with invalid sourceAccountId","PDT-Eligibility","restrequest","OK","","27-Jul-2020 20_52",
"Assignment3","To verify the PDT-PreProcess API with invalid sourceAccountId","PDT-PreProcess","restrequest","OK","","27-Jul-2020 20_52",
